ID,보증금,월세,전용면적,해당층,총층,방수,욕실수,총주차대수,관리비,중개사무소,제공플랫폼,허위매물여부,등록경과일,보증금월세비율,층비율,저층여부,고층여부,매물확인방식_서류확인,매물확인방식_전화확인,매물확인방식_현장확인,주차가능여부_가능,주차가능여부_불가능,방향_남동향,방향_남서향,방향_남향,방향_동향,방향_북동향,방향_북서향,방향_북향,방향_서향
TRAIN_0053,18.478949661510303,11.002116507732017,3.0860299115347716,18.0,18.0,1.0,1.0,0.6931471805599453,2.70805020110221,32,2,0,358,1766.6372227129548,1.0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TRAIN_0054,18.849211131506184,11.775297421715827,3.319987326236612,7.0,8.0,2.0,2.0,1.3862943611198906,2.0794415416798357,32,0,0,533,1180.7601479988616,0.875,0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0055,18.963005040591682,13.270785106659046,3.3379025312898416,2.0,5.0,1.0,1.0,3.4657359027997265,1.6094379124341003,32,0,0,1,296.5512128427365,0.4,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_0056,19.588508104752368,12.994532278619134,3.3325482949183005,4.0,5.0,1.0,1.0,1.6094379124341003,1.0986122886681098,162,5,0,323,730.6801575450964,0.8,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_0057,18.631751722129472,13.369225017834633,3.3325482949183005,6.0,6.0,1.0,1.0,3.0602352018030174,1.0986122886681098,253,2,0,38,192.96844848679925,1.0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TRAIN_0058,18.292847383806116,11.918397239722838,3.2461018111217923,11.0,14.0,1.0,1.0,3.091042453358316,0.0,32,0,0,29,586.6627555816294,0.7857142857142857,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0059,18.893804506764873,13.28787951079572,2.917770732084279,2.0,3.0,2.0,1.0,3.8066624897703196,0.0,32,1,0,323,272.0334372314623,0.6666666666666666,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0060,18.1657885072268,11.002116507732017,3.3325482949183005,2.0,5.0,1.0,1.0,3.0602352018030174,2.6390573296152584,275,1,0,154,1291.6451392476793,0.4,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0061,18.228308863426122,13.060490101343552,2.917770732084279,4.8484030589293745,11.0,1.0,1.0,3.091042453358316,1.791759469228055,81,0,0,143,175.5315414222523,0.44076391444812496,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TRAIN_0062,19.81939762753995,12.644330802262578,3.6630486940794147,4.0,18.0,1.0,1.0,3.6635616461296463,0.0,32,1,0,314,1306.4473985567788,0.2222222222222222,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0063,18.497641794347754,13.081543466215237,3.521643534738023,3.0,10.0,2.0,1.0,3.4339872044851463,0.0,32,0,0,243,224.99953125097656,0.3,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TRAIN_0064,18.99448117251355,12.468440756144114,3.4756862336528944,4.0,5.0,1.0,1.0,0.6931471805599453,0.0,32,1,0,456,682.6896819627617,0.8,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TRAIN_0065,19.043941802410075,13.51440681653079,3.3901364343027307,4.0,7.0,1.0,1.0,0.6931471805599453,0.0,32,2,0,339,252.0266864504237,0.5714285714285714,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0066,19.588508104752368,12.345838935721968,3.3120018028576843,2.0,3.0,2.0,1.0,3.0602352018030174,1.0986122886681098,22,0,0,112,1397.8200094782196,0.6666666666666666,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0067,16.166885910365842,12.25486757159303,2.917770732084279,3.0,10.0,1.0,1.0,1.6094379124341003,2.8903717578961645,208,0,0,119,49.99976190589569,0.3,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0068,18.525040768285617,12.706850963741102,3.3325482949183005,4.8484030589293745,7.0,2.0,1.0,0.6931471805599453,1.9459101490553132,227,9,0,101,336.36261708297855,0.6926290084184821,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0069,19.088510121656228,13.28787951079572,3.3325482949183005,2.0,3.0,2.0,1.0,3.0602352018030174,0.0,59,1,0,129,330.5079143933654,0.6666666666666666,1,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0070,18.80594315154573,12.611541086966115,3.0349529867072724,3.0,4.0,1.0,1.0,1.0986122886681098,2.1972245773362196,150,7,0,83,489.9983666721111,0.75,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TRAIN_0071,17.034386422832473,12.04355959836804,3.620600613360642,3.0,6.0,2.0,1.0,1.6094379124341003,2.0794415416798357,217,0,0,139,147.05795848259717,0.5,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0072,18.46947091764561,12.577639650232573,3.3325482949183005,4.8484030589293745,8.0,2.0,1.0,1.791759469228055,1.0986122886681098,258,0,0,356,362.0677170078724,0.6060503823661718,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_0073,15.424948670398354,13.217675375388819,3.2744997286161976,6.0,7.0,1.0,1.0,2.9444389791664403,0.0,32,0,0,345,9.090892562013524,0.8571428571428571,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0074,19.078200752050506,13.1421679654829,3.455685566946225,6.0,10.0,1.0,1.0,2.5649493574615367,1.6094379124341003,32,0,0,312,378.4306305281754,0.6,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0075,18.17221939747438,13.25339339419516,3.000222178826843,3.0,3.0,1.0,1.0,2.6390573296152584,1.791759469228055,32,0,0,252,136.8418651897102,1.0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0076,18.20995972498239,11.156264806643742,3.3325482949183005,4.8484030589293745,8.052545155993432,1.3780788177339902,1.0345110928512735,3.0602352018030174,0.0,60,3,0,58,1157.1263267667605,0.602095730605218,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0077,19.796924771744006,13.217675375388819,3.3325482949183005,2.0,6.0,1.0,1.0,3.0602352018030174,2.1972245773362196,275,1,0,96,719.998690911471,0.3333333333333333,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0078,18.064005814299346,13.180634172318978,2.917770732084279,4.8484030589293745,9.0,1.0,1.0,2.1972245773362196,2.0794415416798357,176,0,0,59,132.07522249958018,0.5387114509921527,0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0079,18.569100757691327,12.923914877701906,2.917770732084279,12.0,13.0,1.0,1.0,3.0602352018030174,2.1972245773362196,226,0,0,94,282.9261392045385,0.9230769230769231,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0080,18.05683732492351,13.429849547739444,2.917770732084279,2.0,6.0,1.0,1.0,1.791759469228055,0.0,54,2,0,88,102.20573205039405,0.3333333333333333,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_0081,18.320860419719878,12.468440756144114,2.917770732084279,11.0,18.0,2.0,2.0,2.70805020110221,0.0,32,8,0,33,348.0755843246757,0.6111111111111112,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0082,18.30414693893237,12.873904582205107,3.4314032237192214,4.0,7.0,2.0,1.0,3.0602352018030174,2.4849066497880004,13,1,0,128,228.20454306527418,0.5714285714285714,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TRAIN_0083,17.312018149733785,12.821260987319457,3.7350471349589434,4.8484030589293745,6.0,1.0,1.0,2.4849066497880004,1.3862943611198906,12,2,0,153,89.188948137978,0.8080671764882291,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0084,19.786772400305757,11.918397239722838,2.917770732084279,12.0,14.0,1.0,1.0,4.653960350157523,2.3978952727983707,291,5,0,124,2613.3159112272583,0.8571428571428571,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0085,17.01418371633128,13.017005083966255,3.3325482949183005,3.0,4.0,2.0,1.0,3.0602352018030174,0.0,21,0,0,69,54.444323457058985,0.75,1,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0086,18.203767754811153,12.971542813248437,2.917770732084279,12.0,14.0,1.0,1.0,4.653960350157523,2.0794415416798357,134,0,0,146,187.20886695612336,0.8571428571428571,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_0087,18.358805350872576,13.487007879880162,3.098288861879083,9.0,15.0,1.0,1.0,2.8903717578961645,1.3862943611198906,32,3,0,78,130.5553742286469,0.6,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TRAIN_0088,18.832790401401716,10.819798284210286,3.3325482949183005,4.8484030589293745,8.052545155993432,1.3780788177339902,1.0345110928512735,3.0602352018030174,0.0,67,3,0,46,3019.939601207976,0.602095730605218,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRAIN_0089,19.661949335912173,13.369225017834633,3.4515735889872223,3.0,6.0,2.0,2.0,3.8066624897703196,0.6931471805599453,32,1,0,62,540.6241552747574,0.5,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0090,18.694517417186656,12.388398368982115,3.5901634811747787,5.0,7.0,1.0,1.0,3.4339872044851463,0.0,32,3,0,507,547.914383690068,0.7142857142857143,0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0091,18.795686651448673,13.25339339419516,3.3325482949183005,2.0,3.0,2.0,1.0,3.0602352018030174,1.3862943611198906,140,1,0,189,255.26271006542095,0.6666666666666666,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TRAIN_0092,17.296750678069195,12.644330802262578,3.5681232529781366,7.0,10.0,1.0,1.0,3.9318256327243257,2.302585092994046,32,0,0,182,104.83837148912423,0.7,0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
